"Bib_ref","Reference","Date","Verified","CISP_notes"
Sims-Williams/1990,"Sims-Williams, P. (1990). `Dating the transition to Neo-Brittonic: Phonology and HIstory, 400--600',  _in_ Bammesberger, A. and A. Wollman (eds.) _Britain 400-600. Language and History._ Heidelberg.",1990,TRUE,Votoprigis
Sims-Williams/1992,"Sims-Williams, P. (1992). `The additional letters of the Ogam Alphabet.' _Cambridge Medieval Celtic Studies_ 23: 29--75.",1992,TRUE,"Discusses the forfeda and dates KMICH"
Skinner/1802,"Skinner, J. (1802). `Ten days Tour through the island of Anglesey, December, 1802.' _Archaeologia Cambrensis_ (1908), 54-55.",1802,,CHECK!!!!
Skinner/1908,"Skinner, J. (1908), 'Ten days tour through the Isle of Anglesea December 1802'/ _Archaeologia Cambrensis_/ Supplement, July 1908, 1--89.",1802,TRUE,"Anglesey cf skinner/1802!"
"Slater/1728, BM AD MSS 1","Slater/Dwyran/1728,/ BM ADD MSS 14934/ fol. 216.",1728,TRUE,"Llantrisant 1  ????? check??"
Starke/1890,"Starke, J. G. H. (1887--90) `The Kirkmadrine crosses (note).' _Transactions of the Dumfries-shire and Galloway Natural History and Archaeological Society_ 2nd series 6: 170--1.",1890,,n
Steer/1968-69,"Steer, K. A. (1968--69). `Two unrecorded early Christian stones.' _Proceedings of the society of Antiquaries of Scotland_ 101: 127--129.",1969,TRUE,"Peebles and Iona/1/1"
Steer/1969,"Steer, K. H. (1968--69). `Two unrecorded Early Christian stones' _Proceedings of the Society of Antiquaries of Scotland_ 101: 127--9.",1969,,KF
Stephney-Gulston/1908,"Stepney-Gulston, A. (1908). `Maesnonni Inscribed Stone.'  _Archaeologia Cambrensis_ 63: 235--236.",1908,TRUE,LLLWY
Stevenson/1961,"Stevenson, R. B. K. (1958--9). `The Inchyra stone and other unpublished Early Christian monuments.' _Proceedings of the Society of Antiquaries of Scotland_ 92: 33--55. Published 1961.",1961,,KF
Stokes/1890,"Stokes, W. (1890). `The Ogam stones in the Isle of Man.' _The Academy_, August 23, pp. ??????",1890,FALSE,"Linguistic discussion of RUSHN 1, pages?"
Stuart/1823,"Stuart, J. (1823). `An account of some sculptured pillars in the northern part of Scotland.'  _Archaeologia Scotica: Transactions of the Society of Antiquaries of Scotland_ 2(2): 314--23.",1823,,
Stuart/1856,"Stuart, J. (1856). _Sculptured Stones of Scotland_ vol. I. Spalding Club: Aberdeen.",1856,,n
Stuart/1867,"Stuart, John (1867) _Sculptured Stones of Scotland_ vol. II. Spalding Club: Edinburgh.",1867,,n
Swanton/Pearce/1982,"Swanton, M. and Pearce, S. (1982). 'Lustleigh, South Devon: its inscribed stone, its churchyard and its parish.' in S. Pearce (ed.) _The Early Church in Western Britain and Ireland_. Oxford: 139--142.",1982,TRUE,"LUSTL/1 site and stone discussion."
Tangye/1985,"Tangye, M. (1985) `A New Inscribed Stone and Churchyard Cross, St Euny's Church, Redruth.' _Cornish Archaeology_. 24: 171--172.",1985,TRUE,"RDRTH site and stone"
Thomas/1966,"Thomas, A. C. (1966). `Ardwall Isle: the excavation of an Early Christian site of Irish type.' _Transactions of the Dumfries-shire and Galloway Natural History and Archaeological Society_ 34: 84--116.",1966,,check
Thomas/1967,"Thomas, A. C. (1967). `An Early Christian cemetry and chapel on Ardwall Isle, Kirkcudbright' _Medieval Archaeology_ 11: 125--88.",1967,TRUE,n
Thomas/1967a,"Thomas, A. C. 1967. _The Christian Antiquities of Camborne_. H. E. Warne Ltd: St. Austell.",1967,TRUE,
Thomas/1968,"Thomas, A. C. (1968). `The evidence from North Britain' _in_ Barley, M. W. and R. P. C. Hanson (eds.) _Christianity in Britain 300--700_. Leicester.",1968,,n
Thomas/1969,"Thomas, C. (1969. `Lundy, 1969.' _Current Archaeology_ 16: 138--142.",1969,TRUE,
Thomas/1971,"Thomas, C. (1971). _Britain and Ireland in Early Christian Times AD 400--800._ London.",1971,TRUE,"General history with mention of stones"
Thomas/1971b,"Thomas, C. (1971). _The Early Christian Archaeology of North Britain._ Oxford.",1971,TRUE,"Site of Ballavarkish"
Thomas/1981,"Thomas, A. C. (1981). _Christianity in Roman Britain to AD 500_. London: Batsford.",1981,TRUE,n
Thomas/1985,"Thomas, C. (1985), `St. Euny's Church, Redruth: A Note on the Inscription'. _Cornish Archaeology_. 24: 173--174.",1985,TRUE,"RDRTH inscription."
Thomas/1985a,"Thomas, C. 1985. _Exploration of a drowned landscape_. London: Batsford.",1985,TRUE,"KL collection"
Thomas/1992a,"Thomas, A. C. (1991--92). `The early Christian inscriptions of Southern Scotland.' _Glasgow Archaeology Journal_ 17: 1--10.",1992,TRUE,KF
Thomas/1992b,"Thomas, A. C. (1992). _Whithorn's Christian Beginnings_, Whithorn Lecture, 1. Whithorn: Friends of the Whithorn Trust.",1992,TRUE,n
Thomas/1993,"Thomas, A. C. (1993).  _And Shall These Mute Stones Speak?_  Cardiff: University of Wales Press.",1993,TRUE,
Thomas/Thorpe/1998,"Thomas, C. and C. Thorpe (1998).  _1051, Penzance---lesser, lateral, text---a provisional reading.'  Unpublished manuscript supplied by the author.",1998,TRUE,"got copy"
Thomas/unpub/1997,"Thomas, A. C. 1997. _A new inscribed stone (of ECMW Gp. I) from Cornwall_.  Unpublished notes dated 25th Jan. 1997.",1997,TRUE,"On file"
Thoms/1980,"Thomas, D. B. (1980). _Illustrated Guide to Brechin Cathedral._ Second edition, Brechin.",1980,,
Todd/1860,"Todd, W. (1860). _The Clerical History of the Parish of Kirkmaiden_. Glasgow.",1860,,n
Tomlin/1995,"Tomlin, R. S. O. (1995). _The Roman Inscriptions of Britain. I. Inscriptions on Stone. Addenda and Corrigenda_, pp. 751--800. London,",1995,TRUE,
Treherne/1889,"Treherne, C. G. T. (1889). `Notice of the Discovery of an Ogam stone at Eglwys Cymun Church, Carmarthenshire.' _Archaeologia Cambrensis_ 44: 224--225.",1889,TRUE,EGLWC
Treherne/1907,"Treherne, G. G. T. (1907). `Notes on Eglwys Cymmyn, Parc-y-Ceryg Saqnctaidd, and Llandawke.' _Archaeologia Cambrensis_ 62: 257--280.",1907,TRUE,"Llandawke and Eglwys Cymmyn"
Watkin/1879,"Watkin, W. T. (1879). `Roman inscriptions discovered in Britain in 1878.' _Archaeological Journal_ 36: 154--168.",1879,TRUE,
Watson/1926,"Watson, W. J. (1926). _The History of the Celtic Place-names of Scotland_. Edinburgh. Reprinted 1993, Edinburgh: Birlinn.",1926,TRUE,KF
Werner/1972,"Werner, M. (1972). `The _Madonna and Child_ miniature in the Book of Kells, Part I.' _Art Bulletin_ 54: 1--23.",1972,,
Westwood/1855,"Westwood, J. O. (1855). `Notices of several Early Inscribed Stones recently found in various parts of Wales', _Archaeologia Cambrensis_ 3rd series, 1: 4--10.",1855,TRUE,"pcopied with plates"
Westwood/1855a,"Westwood, J. O. (1855). `The sepulchral stone of Emlyn.' _Archaeologia Cambrensis_ 1: 115--117.",1855,TRUE,"First major pub of CLOCG"
Westwood/1856,"Westwood, J. O. (1856). `Notices of the Early Inscribed and sculptured stones of Wales.' _Archaeologia Cambrensis_ 2: 139--146.",1856,TRUE,"Llangefni, check volume"
Westwood/1856b,"Westwood, J. O. (1856). `Notices of the early inscribed and sculptured stones of Wales.' _Archaeologia Cambrensis_ 2: 319--321.",1856,TRUE,CNWYL
Westwood/1858,"Westwood, J. O. (1858). `Further notices of the early inscribed stones of Wales.' _Archaeologia Cambrensis_ 4: 405--408.",1858,TRUE,"Description of Gwytherin, volume"
Westwood/1859,"Westwood, J. O. (1859). `Early Inscribed Stones of Wales', _Archaeologia Cambrensis_ Third Series, 5: 53--57",1859,,"in library, too fragile to copy, figs"
Westwood/1867,"Westwood, J. O. (1867). `Further notices of the Early Inscribed Stones of Wales', _Archaeologia Cambrensis 22: 342--344.",1867,TRUE,copied
Westwood/1871,"Westwood, J. O. (1871). `Further notices of the Early Inscribed Stones of Wales.' _Archaeologia Cambrensis_, 4th series, 2: 256--266.",1871,TRUE,HENLL
Westwood/1874,"Westwood, J. O. (1874). `Postscript to `Notice of an early inscribed stone at Llangors, Talgarth, Breconshire.' ' _Archaeologia Cambrensis_ 29: 232--234.",1874,TRUE,
Westwood/1876,"Westwood, J. O. (1876--1879). _Lapidarium Walliae: the Early Inscribed and Sculptured Stones of Wales. Oxford: Oxford University Press.",1876,TRUE,"MAH has personal copy of parts 2, 3 & 5."
Westwood/1879,"Westwood, J. O. (1879).  _Lapidarium Walliae: the Early Inscribed and Sculptured Stones of Wales_, Oxford U.P. (for the Cambrian Archaeological Association, 1876--79).
",1879,,
White/1971-72,"White, R.B. (1971-72), /'Excavations at Arfryn, Bodedern, long-cist cemeteries and the origins of Christianity in Britain'/ _Anglesey Antiquarian Society and Field Club Transactions_/, 19-51.",1972,TRUE,"Finding of Arfyn stone and site."
White/Longley/1995,"White, R. B. and D. Longley (1995). `Excavations at Aberffraw',  _Anglesey Antiquarian Society and Field Club Transactions_ ??: 13--21.",1995,FALSE,"Aberffraw near Llangadwaladr, VOL"
Wilkinson/1871,"Wilkinson, G. (1871). `The Menvendanus Stone.' _Archaeologia Cambrensis_ 4th series, 2: 140--152.",1871,TRUE,HENLL
Williams/1865,"Williams, W. (1865). `The Frondeg Stone, Anglesey.'  _Archaeologia Cambrensis_ 20: 88---89.",1865,TRUE,"Movement of stone to Llangaffo"
Williams/1937a,"Williams, Ifor (1937) `The Personal names in the early inscriptions', in RCAHMW _An Inventory of Ancient Monuments in Anglesey_, London, cxiv--cxvii.",1937,,
Williams/1937b,"Williams, Ifor (1937) `The Trescawen stone (Llangwyllog)', in RCAHMW _An Inventory of Ancient Monuments in Anglesey_, London, cix--cxiii.
",1937,TRUE,
Williams/1945,"Williams, I. (1945). `Recent finds from Anglesey: the lost Mailis stone, Llanfaelog.' _Anglesey Antiquarian Society and Field Club Transactions_ ??: 24.",1945,FALSE,"Rediscovery of Mailis stone., volume"
Williams/1980,"Williams, I. (1980). `The Personal names in the early Anglesey Inscriptions', _in_ Bromwich, R., _The Beginnings of Welsh Poetry. Studies by Sir Ifor Williams_, pp. 16--24. Cardiff.",1937,TRUE,
Williams/Nash-Williams/1937,"Williams, I. and V. E. Nash-Williams (1937). `Some Welsh Pre-Norman Stones', _Archaeologia Cambrensis_ 92(1): 1--10.",1910,TRUE,"pc in collection"
Wilson/1982-83,"Wilson, J. C. (1982--83). `The Standing stones of Anglesey: a discussion.' _Bulletin of the Board of the Celtic Studies_ 30: 385.",1983,TRUE,"Llanfaelog II as prehistoric menhir."
Winterbottom/1978,"Winterbottom, M. (1978). _Gildas. The Ruin of Britain and other Documents_. Chichester.",,,
WynEvans/1991,"Wyn Evans, J. (1991). `Aspects of the Early Church in Carmarthenshire', _in_ H. James (ed.), _Sir Gar. Studies in Carmarthenshire History_, pp. 239--253. Carmarthen.",1991,TRUE,"Carmarthen E.M. church."
Zimmer/1995,"Zimmer, S.(1995). `Die altkymrischen Frauennamen. Ein Erster Einblick.' _in_ Eska, J., R. G. Gruffydd and N. Jacobs (eds.) _Hispano-Gallo-Brittonica_, pp. 319--335. Cardiff.",1995,TRUE,"Discussion of Welsh women's names"
